word,meaning,synonym,antonym,example,Type,
Vegetables,শাকসবজি,"a plant or part of a plant used as food, ",fruits,Both dishes came with a mountain of fresh vegetables ,Noun,
Vehicle,বাহন,"car, vehicle, coach, hackery, carrier, van","Train, Rail","One part of the terminal is onshore, and land transport vehicles will be unloaded there.",Noun,
Vendor,বিক্রেতা,"seller, vendor, vender, monger, bargainer, counterman",Buyer,"a person or company offering something for sale, especially a trader in the street",Noun,
Venue,ঘটনাস্থল,"venue, locale, theater, local",No place,the river could soon be the venue for a powerboat world championship event,Noun,
Water,পানি," aqua, snack, rain, refreshment, stream","Ice, wood",They are dissolved in warm water and the liquid is taken as a drink between meals.,Noun,
Want,প্রয়োজন,"want, shortage, greed, demand, need",No need,I want a house,Noun,
Warm,উষ্ণ," hot, torrid, thermal, fervent, heated","Cold, Ice",A warm September evening,Adjective,
Waste,অপব্যয়,"extravagance, waste, misuse, wastage, prodigality","Save, Collect",Ensure that waste materials are disposed of responsibly,Adjective,
Weather,আবহাওয়া,"atmosphere, weather, Climate",No weather,"If the weather's good, we can go for a walk",Noun,
Well,ভাল,"good, well, to advantage, amply",Bad,The whole team played well,Adjective,
Wide,প্রশস্ত,"wide, spacious, ample, broad, roomy, capacious",Narrow,The road is so wide,Adjective,
Woman,নারী,"daughter, fair, Female,lady, bedfellow","Man, Male",The woman is look like beautiful,Noun,
Womanizer,অসচ্চরিত্র ব্যক্তি,"womanizer, profligate, wanton, roue, rake",Well charaterized,Mr. Smith is a womanizer,Noun,
Xenophobia,বিদেশীদের সম্বন্ধে অহেতুক ভয়,intense or irrational dislike or fear of people from other countries.,No fear from other countries,"If categorization and bias come so easily, are people doomed to xenophobia and racism?",Noun,
Xerox,মুদ্রণ পদ্ধতিবিশেষ,a xerographic copying process.,No xerox,"On the ground, LynxOS is also used on HP LaserJet printers and Xerox copiers.",Noun,
Xanthic,হলদে,"yellow, canary, daffodil, xanthous, xanthic","Red, Pink",He look likes xanthic,Noun,
Xylophone,বাদ্যযন্ত্রবিশেষ,"a musical instrument played by striking a row of wooden bars of 
graduated length with one or more small wooden or plastic mallets",No xelophone,It is a simple ballad with a choirboy singing a melody over a xylophone and soft string orchestral backing.,Noun,
Yard,উঠান,"yard, gauze, bishop, elephant, protuberance, swelling",Back side of house field,On the half hour mark Brian Pendergast let fly with a right foot shot from twenty yards,Noun,
Yawn,হাই তোলা,"gape, gapes, swell",Close mouth,Hugh Bradley was in the pool recently and said the two boys had yawns as wide as a hippopotamus' mouth.,Verb,
Year,বছর,"solar year, astronomical year, year, equinoctical year",Back year,Roughly half of the American people know that it takes a year for the Earth to go around the Sun.,Nown,
Yell,চিত্কার,"scream, shout, yell, howl, hubbub, call","Laugh, Smile","In his mind, he can hear the screams and yells of men as pain and suffering gripped them.",Verb,
Yellow,হলুদ,"Curcuma domestica, curcuma longa","Red, Pink",Her dress is a yellow color,Adjective,
Yesterday,গতকাল,"last day, yesterday, in the future",Tomorrow,He returned to a hero welcome yesterday,Adverb,
Young,তরুণ," new, newish, fresh, in mint condition, modern",Older,He is a young boy,Adjective,
Zap,হত্যা করা,"kill, zap, slay, deaden, pip, flail",free Life,zap the enemy's artillery before it can damage your core units,Verb,
Zany,মূর্খ লোক,"dolt, donkey, dullard, muggins, tomfool, silly",Educated,Mr. Smith is a zany person,Adjective,
Zero,শূন্য,"nothing, nil, naught, duck, blank",Full,zero the counter when the tape has rewound,Verb,
Zeal,"	
গভীর অনুভূতি"," urgency, enthusiasm, earnestness",No zeal,his zeal for privatization,Noun,
Zoo,চিড়িয়াখানা," park, menagerie, game farm, wildlife park, safari park",Free place without anmal,"Once it was only possible to see animals in zoos or in marine parks but in recent 
years there has been a huge growth in wildlife tourism around the world.",Noun,
Zone,বলয়," area, area of land, region, enclave, country, state",No zone,the government was prepared to give up the nuclear weapons on its territory,Noun,
